date,contribution_receipt_amount
2015-01-01,481.5
2015-02-01,505.0
2015-03-01,1222.5
2015-04-01,7551.5
2015-05-01,2104.6
2015-06-01,2239.5
2015-07-01,3350.27
2015-08-01,2386.54
2015-09-01,7336.68
2015-10-01,8763.77
2015-11-01,5139.33
2015-12-01,9954.35
2016-01-01,3499.23
2016-02-01,10453.98
2016-03-01,11471.81
2016-04-01,7689.8
2016-05-01,8798.81
2016-06-01,8605.0
2016-07-01,17352.58
2016-08-01,11928.36
2016-09-01,37359.75
2016-10-01,39413.41
2016-11-01,19852.6
2016-12-01,2744.5
2017-01-01,4291.48
2017-02-01,3760.0
2017-03-01,7246.93
2017-04-01,5981.7
2017-05-01,10930.87
2017-06-01,7415.7
2017-07-01,3872.1
2017-08-01,5359.2
2017-09-01,19867.33
2017-10-01,5476.5
2017-11-01,8758.2
2017-12-01,14807.74
2018-01-01,5504.29
2018-02-01,5733.25
2018-03-01,6737.0
2018-04-01,3932.26
2018-05-01,6245.0
2018-06-01,13987.5
2018-07-01,10565.59
2018-08-01,39440.15
2018-09-01,34661.79
2018-10-01,69103.83
2018-11-01,15546.83
2018-12-01,2884.1
2019-01-01,2777.67
2019-02-01,10872.01
2019-03-01,14630.31
2019-04-01,5743.03
2019-05-01,6241.51
2019-06-01,12133.51
2019-07-01,8733.11
2019-08-01,10769.19
2019-09-01,24310.85
2019-10-01,17267.65
2019-11-01,13552.04
2019-12-01,25221.71
2020-01-01,22323.14
2020-02-01,41043.75
2020-03-01,34242.42
2020-04-01,21412.510000000002
2020-05-01,19168.3
2020-06-01,64789.41
2020-07-01,52192.72
2020-08-01,176718.18
2020-09-01,208333.72
2020-10-01,184285.98
2020-11-01,85607.32
2020-12-01,26571.07
2021-01-01,8531.34
2021-02-01,7967.02
2021-03-01,12049.51
2021-04-01,7793.0
2021-05-01,17223.75
2021-06-01,12490.61
2021-07-01,7705.24
2021-08-01,10600.77
2021-09-01,7538.98
2021-10-01,14038.47
2021-11-01,12346.33
2021-12-01,11645.88
2022-01-01,10014.25
2022-02-01,10881.05
2022-03-01,16540.99
2022-04-01,14937.35
2022-05-01,21071.46
2022-06-01,26061.94
2022-07-01,21816.9
2022-08-01,32192.78
2022-09-01,43862.72
2022-10-01,52135.02
2022-11-01,34034.46
2022-12-01,6686.63
2023-01-01,10693.93
2023-02-01,7159.400000000001
2023-03-01,10565.56
2023-04-01,19669.29
2023-05-01,13730.4
2023-06-01,13857.4
2023-07-01,6358.5
2023-08-01,4370.0
2023-09-01,11835.0
2023-10-01,1137.0
